"GEO_ID";"GEO_NAME";"VARIABLE";VALUE;"UNIT";"STATUS";"STATUS_DESC";"DESC_VAL";"PERIOD_REF";"SOURCE";"LAST_UPDATE";"GEOM_CODE";"GEOM";"GEOM_PERIOD";"MAP_ID";"MAP_URL"
"1";"Aeugst am Albis";"Anzahl der rein elektrischen Personenwagen*";61;"Elektrische Personenwagen";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-13";"polg";"Politische Gemeinden";"2022-05-01";"26674";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26674_de.html"
"1";"Aeugst am Albis";"Anteil der rein elektrischen Fahrzeuge am Personenwagenbestand, in %*";4.9;"Anteil elektrische Personenfahrzeuge";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-13";"polg";"Politische Gemeinden";"2022-05-01";"26674";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26674_de.html"
"2";"Affoltern am Albis";"Anzahl der rein elektrischen Personenwagen*";174;"Elektrische Personenwagen";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-13";"polg";"Politische Gemeinden";"2022-05-01";"26674";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26674_de.html"
"2";"Affoltern am Albis";"Anteil der rein elektrischen Fahrzeuge am Personenwagenbestand, in %*";2.7;"Anteil elektrische Personenfahrzeuge";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-13";"polg";"Politische Gemeinden";"2022-05-01";"26674";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26674_de.html"
"3";"Bonstetten";"Anzahl der rein elektrischen Personenwagen*";98;"Elektrische Personenwagen";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-13";"polg";"Politische Gemeinden";"2022-05-01";"26674";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26674_de.html"
"3";"Bonstetten";"Anteil der rein elektrischen Fahrzeuge am Personenwagenbestand, in %*";3.5;"Anteil elektrische Personenfahrzeuge";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-13";"polg";"Politische Gemeinden";"2022-05-01";"26674";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26674_de.html"
"4";"Hausen am Albis";"Anzahl der rein elektrischen Personenwagen*";85;"Elektrische Personenwagen";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-13";"polg";"Politische Gemeinden";"2022-05-01";"26674";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26674_de.html"
"4";"Hausen am Albis";"Anteil der rein elektrischen Fahrzeuge am Personenwagenbestand, in %*";3.7;"Anteil elektrische Personenfahrzeuge";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-13";"polg";"Politische Gemeinden";"2022-05-01";"26674";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26674_de.html"
"5";"Hedingen";"Anzahl der rein elektrischen Personenwagen*";78;"Elektrische Personenwagen";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-13";"polg";"Politische Gemeinden";"2022-05-01";"26674";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26674_de.html"
"5";"Hedingen";"Anteil der rein elektrischen Fahrzeuge am Personenwagenbestand, in %*";3.9;"Anteil elektrische Personenfahrzeuge";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-13";"polg";"Politische Gemeinden";"2022-05-01";"26674";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26674_de.html"
