"GEO_ID";"GEO_NAME";"VARIABLE";VALUE;"UNIT";"STATUS";"STATUS_DESC";"DESC_VAL";"PERIOD_REF";"SOURCE";"LAST_UPDATE";"GEOM_CODE";"GEOM";"GEOM_PERIOD";"MAP_ID";"MAP_URL"
"1";"Zürich";"Anzahl Personenwagen*";754340;"Personenwagen";"A";"Normaler Wert";"";"2022-10-15";"BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-25";"kant";"Kantone";"2022-01-01";"26673";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26673_de.html"
"1";"Zürich";"Personenwagen* pro 1 000 Einwohner**";482;"Personenwagen / 1000 Einwohner";"A";"Normaler Wert";"";"2022-10-15";"BFS – Statistik der Bevölkerung und der Haushalte (STATPOP); BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-25";"kant";"Kantone";"2022-01-01";"26673";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26673_de.html"
"2";"Bern";"Anzahl Personenwagen*";547500;"Personenwagen";"A";"Normaler Wert";"";"2022-10-15";"BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-25";"kant";"Kantone";"2022-01-01";"26673";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26673_de.html"
"2";"Bern";"Personenwagen* pro 1 000 Einwohner**";523;"Personenwagen / 1000 Einwohner";"A";"Normaler Wert";"";"2022-10-15";"BFS – Statistik der Bevölkerung und der Haushalte (STATPOP); BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-25";"kant";"Kantone";"2022-01-01";"26673";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26673_de.html"
"3";"Luzern";"Anzahl Personenwagen*";222910;"Personenwagen";"A";"Normaler Wert";"";"2022-10-15";"BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-25";"kant";"Kantone";"2022-01-01";"26673";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26673_de.html"
"3";"Luzern";"Personenwagen* pro 1 000 Einwohner**";530;"Personenwagen / 1000 Einwohner";"A";"Normaler Wert";"";"2022-10-15";"BFS – Statistik der Bevölkerung und der Haushalte (STATPOP); BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-25";"kant";"Kantone";"2022-01-01";"26673";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26673_de.html"
"4";"Uri";"Anzahl Personenwagen*";20499;"Personenwagen";"A";"Normaler Wert";"";"2022-10-15";"BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-25";"kant";"Kantone";"2022-01-01";"26673";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26673_de.html"
"4";"Uri";"Personenwagen* pro 1 000 Einwohner**";553;"Personenwagen / 1000 Einwohner";"A";"Normaler Wert";"";"2022-10-15";"BFS – Statistik der Bevölkerung und der Haushalte (STATPOP); BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-25";"kant";"Kantone";"2022-01-01";"26673";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26673_de.html"
"5";"Schwyz";"Anzahl Personenwagen*";106895;"Personenwagen";"A";"Normaler Wert";"";"2022-10-15";"BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-25";"kant";"Kantone";"2022-01-01";"26673";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26673_de.html"
"5";"Schwyz";"Personenwagen* pro 1 000 Einwohner**";653;"Personenwagen / 1000 Einwohner";"A";"Normaler Wert";"";"2022-10-15";"BFS – Statistik der Bevölkerung und der Haushalte (STATPOP); BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-25";"kant";"Kantone";"2022-01-01";"26673";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26673_de.html"
"6";"Obwalden";"Anzahl Personenwagen*";23417;"Personenwagen";"A";"Normaler Wert";"";"2022-10-15";"BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-25";"kant";"Kantone";"2022-01-01";"26673";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26673_de.html"
"6";"Obwalden";"Personenwagen* pro 1 000 Einwohner**";609;"Personenwagen / 1000 Einwohner";"A";"Normaler Wert";"";"2022-10-15";"BFS – Statistik der Bevölkerung und der Haushalte (STATPOP); BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-25";"kant";"Kantone";"2022-01-01";"26673";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26673_de.html"
"7";"Nidwalden";"Anzahl Personenwagen*";27897;"Personenwagen";"A";"Normaler Wert";"";"2022-10-15";"BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-25";"kant";"Kantone";"2022-01-01";"26673";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26673_de.html"
"7";"Nidwalden";"Personenwagen* pro 1 000 Einwohner**";636;"Personenwagen / 1000 Einwohner";"A";"Normaler Wert";"";"2022-10-15";"BFS – Statistik der Bevölkerung und der Haushalte (STATPOP); BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-25";"kant";"Kantone";"2022-01-01";"26673";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26673_de.html"
"8";"Glarus";"Anzahl Personenwagen*";24297;"Personenwagen";"A";"Normaler Wert";"";"2022-10-15";"BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-25";"kant";"Kantone";"2022-01-01";"26673";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26673_de.html"
"8";"Glarus";"Personenwagen* pro 1 000 Einwohner**";590;"Personenwagen / 1000 Einwohner";"A";"Normaler Wert";"";"2022-10-15";"BFS – Statistik der Bevölkerung und der Haushalte (STATPOP); BFS, ASTRA – Strassenfahrzeugbestand (MFZ)";"2023-01-25";"kant";"Kantone";"2022-01-01";"26673";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26673_de.html"
