GEO_ID,GEO_NAME,Elektroautos_pro_Ladestation,Einwohner_pro_Auto,Ladestationen_pro_100km
1,Zürich,16.4,2.1,16.2
9,Zug,13.8,1.4,41.3
23,Wallis,6.6,1.5,14.7
22,Waadt,11.9,1.9,10.8
4,Uri,3.4,1.8,16.8
20,Thurgau,7.5,1.6,15.4
21,Tessin,22.5,1.6,5.4
17,St. Gallen,39.6,1.8,10.1
11,Solothurn,10.9,1.7,10.2
5,Schwyz,26.9,1.5,9.6
14,Schaffhausen,1.6,1.8,12.2
6,Obwalden,16,1.6,4.5
7,Nidwalden,13.5,1.6,11.2
24,Neuenburg,8.3,1.8,9.8
3,Luzern,11.1,1.9,10.6
26,Jura,13.7,1.7,3.3
18,Graubünden,4.1,1.7,11.9
8,Glarus,7,1.7,10.6
25,Genf,7.7,2.4,28.1
10,Freiburg,14.3,1.7,7.3
2,Bern,62.8,1.9,39.2
12,Basel-Stadt,4.3,3.1,13.2
13,Basel-Landschaft,4,1.9,7.3
16,Appenzell Innerrhoden,5.5,1.6,16
15,Appenzell Ausserrhoden,36.2,1.7,2.7
19,Aargau,12.8,1.7,11.1
