GEO_ID,GEO_NAME,Anteil_Elektroautos,UNIT
323,Bannwil,12.4,Anteil elektrische Personenfahrzeuge
708,Schelten,11.1,Anteil elektrische Personenfahrzeuge
5908,Chêne-Pâquier,10.2,Anteil elektrische Personenfahrzeuge
6290,Saas-Fee,10,Anteil elektrische Personenfahrzeuge
6300,Zermatt,8.2,Anteil elektrische Personenfahrzeuge
5622,Bremblens,8.1,Anteil elektrische Personenfahrzeuge
1707,Risch,7.5,Anteil elektrische Personenfahrzeuge
1702,Cham,7.3,Anteil elektrische Personenfahrzeuge
41,Truttikon,7,Anteil elektrische Personenfahrzeuge
5585,Jouxtens-Mézery,6.5,Anteil elektrische Personenfahrzeuge
2089,Montet (Glâne),6.4,Anteil elektrische Personenfahrzeuge
5855,Dully,6.4,Anteil elektrische Personenfahrzeuge
2261,Greng,6.3,Anteil elektrische Personenfahrzeuge
5437,Saubraz,6.2,Anteil elektrische Personenfahrzeuge
6197,Kippel,6.2,Anteil elektrische Personenfahrzeuge
2271,Meyriez,6,Anteil elektrische Personenfahrzeuge
2894,Titterten,6,Anteil elektrische Personenfahrzeuge
5233,Vico Morcote,6,Anteil elektrische Personenfahrzeuge
24,Buch am Irchel,5.8,Anteil elektrische Personenfahrzeuge
4227,Bettwil,5.8,Anteil elektrische Personenfahrzeuge
5436,Saint-Oyens,5.8,Anteil elektrische Personenfahrzeuge
1122,Altbüron,5.7,Anteil elektrische Personenfahrzeuge
5701,Arnex-sur-Nyon,5.7,Anteil elektrische Personenfahrzeuge
241,Aesch (ZH),5.4,Anteil elektrische Personenfahrzeuge
2216,Pierrafortscha,5.4,Anteil elektrische Personenfahrzeuge
5499,Senarclens,5.4,Anteil elektrische Personenfahrzeuge
5639,Lully (VD),5.4,Anteil elektrische Personenfahrzeuge
12,Rifferswil,5.3,Anteil elektrische Personenfahrzeuge
5640,Lussy-sur-Morges,5.3,Anteil elektrische Personenfahrzeuge
2492,Kienberg,5.2,Anteil elektrische Personenfahrzeuge
5628,Chigny,5.2,Anteil elektrische Personenfahrzeuge
6193,Bürchen,5.2,Anteil elektrische Personenfahrzeuge
2841,Anwil,5.1,Anteil elektrische Personenfahrzeuge
2973,Trasadingen,5.1,Anteil elektrische Personenfahrzeuge
3669,Tschappina,5.1,Anteil elektrische Personenfahrzeuge
5650,Vaux-sur-Morges,5.1,Anteil elektrische Personenfahrzeuge
14,Wettswil am Albis,5,Anteil elektrische Personenfahrzeuge
2022,Gletterens,5,Anteil elektrische Personenfahrzeuge
2061,Auboranges,5,Anteil elektrische Personenfahrzeuge
2933,Buchberg,5,Anteil elektrische Personenfahrzeuge
5431,Mollens (VD),5,Anteil elektrische Personenfahrzeuge
5665,Chavannes-sur-Moudon,5,Anteil elektrische Personenfahrzeuge
1,Aeugst am Albis,4.9,Anteil elektrische Personenfahrzeuge
2194,Ferpicloz,4.9,Anteil elektrische Personenfahrzeuge
5230,Vernate,4.9,Anteil elektrische Personenfahrzeuge
5429,Longirod,4.9,Anteil elektrische Personenfahrzeuge
5483,Ferreyres,4.9,Anteil elektrische Personenfahrzeuge
5501,Sullens,4.9,Anteil elektrische Personenfahrzeuge
86,Dielsdorf,4.8,Anteil elektrische Personenfahrzeuge
2827,Hersberg,4.8,Anteil elektrische Personenfahrzeuge
3681,Avers,4.8,Anteil elektrische Personenfahrzeuge
5637,Lavigny,4.8,Anteil elektrische Personenfahrzeuge
5645,Romanel-sur-Morges,4.8,Anteil elektrische Personenfahrzeuge
5718,Genolier,4.8,Anteil elektrische Personenfahrzeuge
5885,Jongny,4.8,Anteil elektrische Personenfahrzeuge
6194,Eischoll,4.8,Anteil elektrische Personenfahrzeuge
2463,Unterramsern,4.7,Anteil elektrische Personenfahrzeuge
4621,Warth-Weiningen,4.7,Anteil elektrische Personenfahrzeuge
4643,Bottighofen,4.7,Anteil elektrische Personenfahrzeuge
5623,Buchillon,4.7,Anteil elektrische Personenfahrzeuge
5719,Gingins,4.7,Anteil elektrische Personenfahrzeuge
160,Zumikon,4.6,Anteil elektrische Personenfahrzeuge
990,Walliswil bei Niederbipp,4.6,Anteil elektrische Personenfahrzeuge
2491,Hauenstein-Ifenthal,4.6,Anteil elektrische Personenfahrzeuge
2855,Oltingen,4.6,Anteil elektrische Personenfahrzeuge
2862,Tecknau,4.6,Anteil elektrische Personenfahrzeuge
3715,Muntogna da Schons,4.6,Anteil elektrische Personenfahrzeuge
4821,Hüttwilen,4.6,Anteil elektrische Personenfahrzeuge
5702,Arzier-Le Muids,4.6,Anteil elektrische Personenfahrzeuge
5726,La Rippe,4.6,Anteil elektrische Personenfahrzeuge
